Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC
ENSG00000001084,1600.470173,-1.039934724,0.211678322,-4.912806925,8.98E-07,4.28E-06,1.039934724,-2.05613462
ENSG00000001561,210.0763802,1.540613106,0.159062858,9.685561556,3.47E-22,7.71E-21,1.540613106,2.909181094
ENSG00000003400,238.8494356,-1.712040888,0.325625341,-5.257701634,1.46E-07,7.83E-07,1.712040888,-3.276239643
ENSG00000003402,4126.157526,1.185809872,0.192897382,6.147361166,7.88E-10,5.50E-09,1.185809872,2.274910633
ENSG00000003436,249.3347504,1.1626587,0.263719758,4.408690144,1.04E-05,4.18E-05,1.1626587,2.238696103
ENSG00000004139,28.04493835,-1.234331828,0.282384004,-4.371111001,1.24E-05,4.91E-05,1.234331828,-2.352723579
ENSG00000004468,307.4556482,1.481687846,0.459681988,3.223288892,0.001267277,0.003392003,1.481687846,2.792752736
ENSG00000004660,87.38869179,-1.741102201,0.252019173,-6.908610098,4.89E-12,4.39E-11,1.741102201,-3.34290464
ENSG00000004799,498.010947,-4.399917271,0.295602619,-14.88456795,4.15E-50,4.42E-48,4.399917271,-21.11091597
ENSG00000004846,71.81646163,5.319840012,0.502346902,10.58997277,3.32E-26,9.57E-25,5.319840012,39.94214793
ENSG00000005059,385.3091216,-1.23487152,0.293652113,-4.205219259,2.61E-05,9.81E-05,1.23487152,-2.353603863
ENSG00000005206,34.04632039,-1.221935476,0.223186423,-5.474954334,4.38E-08,2.51E-07,1.221935476,-2.332594414
ENSG00000005469,23.16275749,-1.370010649,0.315173153,-4.346850726,1.38E-05,5.43E-05,1.370010649,-2.584724739
ENSG00000005486,882.3060257,2.112605654,0.284422701,7.427697038,1.11E-13,1.20E-12,2.112605654,4.324716775
ENSG00000005882,35.87260459,-2.082873266,0.291362161,-7.148743196,8.76E-13,8.63E-12,2.082873266,-4.236501167
ENSG00000006118,26.69529575,5.182691956,0.735681554,7.044749085,1.86E-12,1.75E-11,5.182691956,36.3199914
ENSG00000006282,82.54816568,-1.265782275,0.166736345,-7.591519848,3.16E-14,3.66E-13,1.265782275,-2.404575584
ENSG00000006327,44.06577261,1.00334752,0.444697378,2.256247886,0.024055111,0.046108825,1.00334752,2.004646036
ENSG00000006453,26.75356502,7.351031317,1.019195931,7.212579144,5.49E-13,5.52E-12,7.351031317,163.260426
ENSG00000006530,231.5081478,1.473767965,0.145615429,10.1209602,4.46E-24,1.13E-22,1.473767965,2.777463524
ENSG00000006652,339.5009483,1.063358077,0.201284851,5.282852008,1.27E-07,6.91E-07,1.063358077,2.089790147
ENSG00000006704,49.94777348,-1.267486883,0.28899315,-4.385871724,1.16E-05,4.61E-05,1.267486883,-2.407418374
ENSG00000006747,174.5989382,-3.205648859,0.323995345,-9.894120122,4.41E-23,1.06E-21,3.205648859,-9.225639114
ENSG00000007038,39.68853953,-2.890730002,0.365623577,-7.906300872,2.65E-15,3.37E-14,2.890730002,-7.416456263
ENSG00000007255,109.0412379,-1.523883024,0.275762552,-5.526069486,3.27E-08,1.90E-07,1.523883024,-2.875639895
ENSG00000007350,21.41745325,-2.082747615,0.477675329,-4.360174137,1.30E-05,5.14E-05,2.082747615,-4.236132206
ENSG00000007384,10.11860647,1.265919974,0.566243421,2.235646239,0.025374953,0.048277043,1.265919974,2.4048051
ENSG00000008056,11.54207142,3.031091844,0.639853599,4.737164642,2.17E-06,9.69E-06,3.031091844,8.174281029
ENSG00000008118,37.07247396,3.580877789,0.532836308,6.72040876,1.81E-11,1.53E-10,3.580877789,11.96607237
ENSG00000008382,130.0437474,-1.019761251,0.239918906,-4.250441403,2.13E-05,8.15E-05,1.019761251,-2.02758339
ENSG00000008394,2257.513886,1.003389283,0.175041853,5.732282105,9.91E-09,6.14E-08,1.003389283,2.004704068
ENSG00000008441,35.53985456,-1.222346369,0.259338936,-4.713316056,2.44E-06,1.08E-05,1.222346369,-2.333258853
ENSG00000008513,7019.86325,1.935804649,0.143864335,13.45576478,2.85E-41,2.14E-39,1.935804649,3.825914543
ENSG00000008517,60.88354179,1.928593156,0.252945308,7.624546093,2.45E-14,2.86E-13,1.928593156,3.806837945
ENSG00000008853,122.8565737,-2.494248252,0.257837032,-9.673739393,3.90E-22,8.62E-21,2.494248252,-5.634346356
ENSG00000010030,24.96948082,1.895165127,0.722584947,2.622757553,0.008722132,0.018940476,1.895165127,3.719645486
ENSG00000010219,61.75631514,-1.280336792,0.241172151,-5.308808608,1.10E-07,6.06E-07,1.280336792,-2.428956734
ENSG00000010278,8982.154611,-3.305669109,0.207440526,-15.93550294,3.59E-57,5.33E-55,3.305669109,-9.887933968
ENSG00000010295,144.9710689,-1.013102692,0.153189053,-6.613414434,3.76E-11,3.07E-10,1.013102692,-2.018246923
ENSG00000010327,3854.930894,-2.821412301,0.29490766,-9.567104157,1.10E-21,2.35E-20,2.821412301,-7.068540209
ENSG00000010361,19.93130822,-1.400045874,0.299200785,-4.679285434,2.88E-06,1.26E-05,1.400045874,-2.639099736
ENSG00000010610,1751.052474,-3.064510979,0.636428166,-4.815171832,1.47E-06,6.74E-06,3.064510979,-8.365843322
ENSG00000010704,81.27734432,-1.209202664,0.369355348,-3.273819291,0.001061044,0.002891484,1.209202664,-2.312098184
ENSG00000010818,1925.820309,5.135181872,0.384453485,13.35709538,1.08E-40,7.75E-39,5.135181872,35.14340008
ENSG00000011028,65.63086518,-2.176567569,0.554321009,-3.926547136,8.62E-05,0.000294914,2.176567569,-4.52076702
ENSG00000011422,7459.776725,2.914506459,0.270938267,10.7570868,5.49E-27,1.68E-25,2.914506459,7.539696544
ENSG00000011523,130.0733181,-1.253040727,0.216951837,-5.775663135,7.67E-09,4.83E-08,1.253040727,-2.383432432
ENSG00000012124,328.0293534,-1.825868298,0.359321781,-5.081429498,3.75E-07,1.89E-06,1.825868298,-3.545203146
ENSG00000012779,440.5919421,-1.150623817,0.408724962,-2.815154259,0.004875383,0.011380309,1.150623817,-2.2200987
ENSG00000013523,274.4700261,-1.370395861,0.192689571,-7.111935803,1.14E-12,1.11E-11,1.370395861,-2.585414975
ENSG00000013619,270.5904189,6.061057656,0.503345859,12.04153675,2.15E-33,9.90E-32,6.061057656,66.76673818
ENSG00000013810,98.28477988,-1.240223027,0.243994479,-5.082996261,3.72E-07,1.88E-06,1.240223027,-2.362350491
ENSG00000014914,15.41642645,2.191778815,0.72138002,3.038313725,0.002379061,0.006000544,2.191778815,4.568684492
ENSG00000015475,2307.488387,1.686440095,0.096315388,17.50956036,1.21E-68,2.35E-66,1.686440095,3.218615174
ENSG00000015532,36.59705812,-1.437982895,0.358203406,-4.014431105,5.96E-05,0.000210338,1.437982895,-2.709417831
ENSG00000017260,3860.350329,1.951512522,0.157360049,12.4015755,2.56E-35,1.34E-33,1.951512522,3.867798192
ENSG00000017483,30.70448214,-1.130903428,0.387902517,-2.915432042,0.003551965,0.008588526,1.130903428,-2.189958344
ENSG00000018280,1964.735279,1.464855443,0.225467086,6.496981306,8.19E-11,6.42E-10,1.464855443,2.760358107
ENSG00000019144,225.6528028,1.626050608,0.31785291,5.115732968,3.13E-07,1.60E-06,1.626050608,3.086668626
ENSG00000019582,25445.39622,-2.015338189,0.218388189,-9.228238039,2.75E-20,5.29E-19,2.015338189,-4.042753356
ENSG00000019991,233.0291126,-5.293290075,0.339838499,-15.57589882,1.06E-54,1.39E-52,5.293290075,-39.21381435
ENSG00000020181,31.53783122,2.262744412,0.462441707,4.893037068,9.93E-07,4.70E-06,2.262744412,4.799035257
ENSG00000020256,40.76201258,-1.462224182,0.303492329,-4.817993868,1.45E-06,6.66E-06,1.462224182,-2.755328214
ENSG00000020577,70.36319466,-4.59661145,0.439950641,-10.44801625,1.50E-25,4.20E-24,4.59661145,-24.19457094
ENSG00000021762,56.37805417,-2.121060513,0.223925808,-9.472157463,2.74E-21,5.69E-20,2.121060513,-4.350136024
ENSG00000022267,41.92019736,-1.303560284,0.479818012,-2.716780637,0.006592028,0.014801294,1.303560284,-2.46837277
ENSG00000022556,45.81411352,1.863644116,0.398660911,4.674760093,2.94E-06,1.28E-05,1.863644116,3.639257453
ENSG00000022567,315.6194474,-1.991562818,0.19850132,-10.03299534,1.09E-23,2.73E-22,1.991562818,-3.976675435
ENSG00000023171,53.56828725,-2.5851438,0.269202647,-9.602965743,7.77E-22,1.68E-20,2.5851438,-6.000754049
ENSG00000023445,3391.770246,2.161909538,0.226459912,9.546544091,1.34E-21,2.84E-20,2.161909538,4.475067791
ENSG00000023892,65.53653453,-1.523809151,0.238581915,-6.386943261,1.69E-10,1.28E-09,1.523809151,-2.875492652
ENSG00000023902,1906.486632,1.276486463,0.192189044,6.641827419,3.10E-11,2.56E-10,1.276486463,2.422482868
ENSG00000023909,1945.944395,2.005993992,0.186421058,10.76055468,5.29E-27,1.63E-25,2.005993992,4.016653445
ENSG00000024422,18.15805983,1.822201972,0.455936359,3.996614735,6.43E-05,0.000225482,1.822201972,3.536205144
ENSG00000026297,172.0336322,-2.026250586,0.210156325,-9.641635047,5.33E-22,1.17E-20,2.026250586,-4.073448267
ENSG00000026508,66037.43048,2.306338461,0.146781823,15.71269806,1.24E-55,1.69E-53,2.306338461,4.946261316
ENSG00000026751,34678.41227,2.860732606,0.254766772,11.22882934,2.94E-29,1.06E-27,2.860732606,7.263840914
ENSG00000026950,179.1033371,-1.064760436,0.185663715,-5.734887064,9.76E-09,6.06E-08,1.064760436,-2.091822497
ENSG00000027001,68.52200542,-1.304110478,0.21945987,-5.942364227,2.81E-09,1.86E-08,1.304110478,-2.4693143
ENSG00000028116,539.5948295,1.136935636,0.222313295,5.114114445,3.15E-07,1.62E-06,1.136935636,2.199134184
ENSG00000028137,17434.18056,1.520726157,0.227238122,6.692214065,2.20E-11,1.84E-10,1.520726157,2.869354375
ENSG00000028277,996.2530598,3.089142935,0.236976777,13.0356357,7.67E-39,5.01E-37,3.089142935,8.509904459
ENSG00000028528,1735.319488,-1.170352762,0.127584715,-9.17314245,4.59E-20,8.70E-19,1.170352762,-2.250667225
ENSG00000029153,594.8011829,3.648535184,0.245877696,14.83882127,8.22E-50,8.59E-48,3.648535184,12.54060621
ENSG00000030582,16585.46421,-1.132428357,0.18384734,-6.159612401,7.29E-10,5.11E-09,1.132428357,-2.192274354
ENSG00000031081,3965.602323,1.314415784,0.163309311,8.048627317,8.37E-16,1.12E-14,1.314415784,2.487015992
ENSG00000034152,1624.343048,1.861305361,0.282013941,6.600047338,4.11E-11,3.34E-10,1.861305361,3.633362626
ENSG00000035403,379.1794814,-1.512741371,0.126980687,-11.91316104,1.01E-32,4.44E-31,1.512741371,-2.853517422
ENSG00000035720,18.46689147,1.806290629,0.653180743,2.765376428,0.005685714,0.01300426,1.806290629,3.497418961
ENSG00000035862,4479.25984,-1.214381279,0.22736432,-5.341125114,9.24E-08,5.12E-07,1.214381279,-2.320412473
ENSG00000037757,43.67860576,-1.002354267,0.22087376,-4.538131947,5.68E-06,2.37E-05,1.002354267,-2.003266371
ENSG00000037897,221.874378,1.051814236,0.302315123,3.479198214,0.000502916,0.001471551,1.051814236,2.073135245
ENSG00000038210,547.1850917,1.00526048,0.191912821,5.23811008,1.62E-07,8.64E-07,1.00526048,2.007305886
ENSG00000038427,1929.518686,3.18974231,0.402484529,7.925130226,2.28E-15,2.92E-14,3.18974231,9.124479795
ENSG00000038945,1601.204559,-3.86336073,0.406187264,-9.511279832,1.88E-21,3.95E-20,3.86336073,-14.55417068
ENSG00000039560,263.3371885,2.046855378,0.213961503,9.566465673,1.11E-21,2.36E-20,2.046855378,4.132043316
ENSG00000040608,22.50767933,-5.020684372,0.615717172,-8.154205532,3.51E-16,4.81E-15,5.020684372,-32.46209876
ENSG00000041982,41.30155176,5.604926862,1.039294555,5.393010897,6.93E-08,3.89E-07,5.604926862,48.66885275
ENSG00000042286,553.5602118,1.570391146,0.125478888,12.51518223,6.17E-36,3.39E-34,1.570391146,2.969852223
ENSG00000042317,14.81869412,-2.807383769,0.444777966,-6.311876901,2.76E-10,2.04E-09,2.807383769,-7.000139969
ENSG00000042980,292.1465774,-1.842416354,0.301059544,-6.119773956,9.37E-10,6.48E-09,1.842416354,-3.586101579
ENSG00000043462,3486.042029,1.60289985,0.27764649,5.773168061,7.78E-09,4.90E-08,1.60289985,3.037532512
ENSG00000046604,39.74001833,1.228864859,0.373086137,3.293783224,0.000988487,0.002715912,1.228864859,2.343825005
ENSG00000047230,27.54812741,-1.513397515,0.350163221,-4.321977358,1.55E-05,6.03E-05,1.513397515,-2.854815508
ENSG00000047249,2420.955523,1.23792131,0.161597215,7.66053617,1.85E-14,2.19E-13,1.23792131,2.358584535
ENSG00000047579,215.2087126,-1.084194344,0.407372711,-2.661430956,0.00778093,0.017129017,1.084194344,-2.120191156
