"","pathwy.id","description","pvalues","Bonferroni","successes","PathwaySize","N","sample.size"
"1","R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol",0,0,3792.17,7997.93,603749.5,56814.09
"2","R-HSA-6798695","Neutrophil degranulation",0,0,9307.49,43684.78,603749.5,56814.09
"3","R-HSA-6807878","COPI-mediated anterograde transport",0,0,1073.01,3103.12,603749.5,56814.09
"4","R-HSA-72163","mRNA Splicing - Major Pathway",0,0,6640.25,9848.32,603749.5,56814.09
"5","R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA",0,0,930.6,1689.5,603749.5,56814.09
"6","R-HSA-72766","Translation",0,0,2414.37,4549.38,603749.5,56814.09
"7","R-HSA-159236","Transport of Mature mRNA derived from an Intron-Containing Transcript",4.638e-299,4.643e-296,534.17,911.09,603749.5,56814.09
"8","R-HSA-611105","Respiratory electron transport",3.521e-243,3.525e-240,815.42,2381.18,603749.5,56814.09
"9","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",4.507e-214,4.512e-211,250.14,285.12,603749.5,56814.09
"10","R-HSA-6799198","Complex I biogenesis",6.013e-195,6.019e-192,561,1460.7,603749.5,56814.09
"11","R-HSA-379716","Cytosolic tRNA aminoacylation",1.831e-171,1.833e-168,213.75,257.25,603749.5,56814.09
"12","R-HSA-1428517","The citric acid (TCA) cycle and respiratory electron transport",2.561e-157,2.564e-154,526.32,1537.04,603749.5,56814.09
"13","R-HSA-168273","Influenza Viral RNA Transcription and Replication",1.27e-154,1.271e-151,241.35,362.17,603749.5,56814.09
"14","R-HSA-8868773","rRNA processing in the nucleus and cytosol",2.203e-150,2.205e-147,292.37,542.49,603749.5,56814.09
"15","R-HSA-70171","Glycolysis",1.854e-145,1.856e-142,324.58,682.01,603749.5,56814.09
"16","R-HSA-199977","ER to Golgi Anterograde Transport",8.76e-138,8.769e-135,472.08,1404.7,603749.5,56814.09
"17","R-HSA-5663205","Infectious disease",8.382e-133,8.39e-130,486.68,1515.79,603749.5,56814.09
"18","R-HSA-446203","Asparagine N-linked glycosylation",5.983e-132,5.989e-129,1033.37,4934.28,603749.5,56814.09
"19","R-HSA-204005","COPII-mediated vesicle transport",7.655e-121,7.663e-118,403.11,1177.56,603749.5,56814.09
"20","R-HSA-3371453","Regulation of HSF1-mediated heat shock response",5.67e-118,5.676e-115,311.89,757.9,603749.5,56814.09
"21","R-HSA-8950505","Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation",1.704e-100,1.706e-97,207.73,407.85,603749.5,56814.09
"22","R-HSA-71403","Citric acid cycle (TCA cycle)",9.017e-93,9.026e-90,143.14,213.57,603749.5,56814.09
"23","R-HSA-162599","Late Phase of HIV Life Cycle",3.182e-84,3.185e-81,195.96,428.12,603749.5,56814.09
"24","R-HSA-6811442","Intra-Golgi and retrograde Golgi-to-ER traffic",5.106e-64,5.111e-61,429.33,1916.95,603749.5,56814.09
"25","R-HSA-1169408","ISG15 antiviral mechanism",3.724e-63,3.728e-60,194.73,538.65,603749.5,56814.09
"26","R-HSA-168255","Influenza Life Cycle",2.142e-61,2.144e-58,95.02,143.9,603749.5,56814.09
"27","R-HSA-162909","Host Interactions of HIV factors",5.641e-61,5.647e-58,132.47,274.81,603749.5,56814.09
"28","R-HSA-8876198","RAB GEFs exchange GTP for GDP on RABs",2.159e-53,2.161e-50,494.65,2548.91,603749.5,56814.09
"29","R-HSA-6811436","COPI-independent Golgi-to-ER retrograde traffic",7.645e-52,7.653e-49,135.45,330.99,603749.5,56814.09
