SWPROT,Gene,description,AverageFC_Vehicle,AverageFC_LPS,LPS_Log2FC,pvalue_ttest1
P01375,TNF,Tumor necrosis factor,17.96,19.4,1.44,0.00146986
P51570,GALK1,Galactokinase,21.9525,22.0675,0.115,0.004609684
Q86VP1,TAX1BP1,Tax1-binding protein 1,20.27,20.0625,-0.2075,0.009384638
Q04864,REL,Proto-oncogene c-Rel,22.6525,22.9275,0.275,0.009632443
P10145,CXCL8,Interleukin-8,18.4975,20.485,1.9875,0.002879003
P22362,CCL1,C-C motif chemokine 1,18.95,19.885,0.935,0.005040228
P38646,HSPA9,"Stress-70 protein, mitochondrial",25.6375,25.7225,0.085,0.035438094
Q13077,TRAF1,TNF receptor-associated factor 1,21.765,22.6125,0.8475,0.005427664
O15054,KDM6B,Lysine-specific demethylase 6B,20.465,20.875,0.41,0.004977841
P01584,IL1B,Interleukin-1 beta,23.77,24.85,1.08,0.016436856
Q9BXD5,NPL,N-acetylneuraminate lyase,20.6275,20.4825,-0.145,0.111916534
Q9H944,MED20,Mediator of RNA polymerase II transcription subunit 20,18.9675,19.1475,0.18,0.11202067
A6NFI3,ZNF316,Zinc finger protein 316,18.0875,18.2075,0.12,0.013846833
O95197,RTN3,Reticulon-3,20.855,21.035,0.18,0.116157528
P29966,MARCKS,Myristoylated alanine-rich C-kinase substrate,24.3,24.5925,0.2925,0.087828432
P07332,FES,Tyrosine-protein kinase Fes/Fps,22.1475,22.3125,0.165,0.010774295
P48507,GCLM,Glutamate--cysteine ligase regulatory subunit,21.4575,21.715,0.2575,0.006975274
P25963,NFKBIA,NF-kappa-B inhibitor alpha,19.2825,19.7025,0.42,0.030320631
Q9Y530,OARD1,O-acetyl-ADP-ribose deacetylase 1,18.5125,18.695,0.1825,0.082436945
P09601,HMOX1,Heme oxygenase 1,22.1925,21.88,-0.3125,0.113777119
O94886,TMEM63A,CSC1-like protein 1,17.8125,17.9775,0.165,0.061844696
P0DMN0,SULT1A4,Sulfotransferase 1A4,21.34,21.5125,0.1725,0.015973685
Q15554,TERF2,Telomeric repeat-binding factor 2,20.0675,20.4775,0.41,0.008573052
O75558,STX11,Syntaxin-11,23.1525,23.2875,0.135,0.00321323
Q96EK9,KTI12,Protein KTI12 homolog,18.1075,18.2525,0.145,0.056357789
Q5H9U9,DDX60L,Probable ATP-dependent RNA helicase DDX60-like,20.465,20.5925,0.1275,0.075410449
P19875,CXCL2,C-X-C motif chemokine 2,17.4225,18.64,1.2175,0.103106992
Q8NFZ5,TNIP2,TNFAIP3-interacting protein 2,18.0475,17.8025,-0.245,0.019357912
Q9HC21,SLC25A19,Mitochondrial thiamine pyrophosphate carrier,19.2025,19.3975,0.195,0.097284783
P09341,CXCL1,Growth-regulated alpha protein,17.99,19.01,1.02,0.107147247
P19876,CXCL3,C-X-C motif chemokine 3,17.66,18.8175,1.1575,0.023905358
Q6UX71,PLXDC2,Plexin domain-containing protein 2,19.3625,18.81,-0.5525,0.000596461
O14964,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,22.595,22.76,0.165,0.110942439
Q96ES7,SGF29,SAGA-associated factor 29,18.7075,18.8375,0.13,0.195957736
