SWPROT,Gene,description,AverageFC_Vehicle,AverageFC_LPSLPS,LPSLPS_Log2FC,pvalue_ttest1
Q96LW7,CARD19,Caspase recruitment domain-containing protein 19,18.53,18.53,0,1
P33993,MCM7,DNA replication licensing factor MCM7,21.1425,21.1425,0,1
O75190,DNAJB6,DnaJ homolog subfamily B member 6,20.625,20.625,0,1
Q7L2J0,MEPCE,7SK snRNA methylphosphate capping enzyme,18.475,18.475,0,1
Q9BXX0,EMILIN2,EMILIN-2,19.48,19.48,0,1
P08571,CD14,Monocyte differentiation antigen CD14,22.435,22.4375,0.0025,0.98896307
Q9BX10,GTPBP2,GTP-binding protein 2,18.025,18.0275,0.0025,0.9865221
Q13148,TARDBP,TAR DNA-binding protein 43,22.9475,22.9425,-0.005,0.986357539
Q9Y6M5,SLC30A1,Zinc transporter 1,20.685,20.6825,-0.0025,0.985908742
Q9NXC5,MIOS,WD repeat-containing protein mio,19.7625,19.765,0.0025,0.982377765
P05165,PCCA,"Propionyl-CoA carboxylase alpha chain, mitochondrial",20.32,20.3175,-0.0025,0.976519257
Q13642,FHL1,Four and a half LIM domains protein 1,19.3225,19.3175,-0.005,0.976382311
Q9UIF9,BAZ2A,Bromodomain adjacent to zinc finger domain protein 2A,17.2625,17.26,-0.0025,0.975388391
Q9UBF6,RNF7,RING-box protein 2,19.455,19.46,0.005,0.974787748
P02730,SLC4A1,Band 3 anion transport protein,20.275,20.28,0.005,0.974424139
Q11201,ST3GAL1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",17.8875,17.89,0.0025,0.96867715
Q7Z7A3,CTU1,Cytoplasmic tRNA 2-thiolation protein 1,18.8625,18.87,0.0075,0.968592556
Q7Z4F1,LRP10,Low-density lipoprotein receptor-related protein 10,17.5625,17.56,-0.0025,0.966862641
Q9BPX6,MICU1,"Calcium uptake protein 1, mitochondrial",21.0125,21.0075,-0.005,0.962971158
Q15652,JMJD1C,Probable JmjC domain-containing histone demethylation protein 2C,20.32,20.3125,-0.0075,0.961600687
Q8N511,TMEM199,Transmembrane protein 199,18.125,18.1075,-0.0175,0.959771237
Q9UBC2,EPS15L1,Epidermal growth factor receptor substrate 15-like 1,22.255,22.2525,-0.0025,0.958998807
Q9UBM7,DHCR7,7-dehydrocholesterol reductase,18.7875,18.7825,-0.005,0.958522955
Q12873,CHD3,Chromodomain-helicase-DNA-binding protein 3,16.3675,16.36,-0.0075,0.95754558
Q2TAZ0,ATG2A,Autophagy-related protein 2 homolog A,18.77,18.7725,0.0025,0.956989408
P31641,SLC6A6,Sodium- and chloride-dependent taurine transporter,19.965,19.9675,0.0025,0.954652314
Q5T280,C9orf114,Putative methyltransferase C9orf114,17.86,17.855,-0.005,0.953205327
Q9NRK6,ABCB10,"ATP-binding cassette sub-family B member 10, mitochondrial",19.985,19.98,-0.005,0.951328334
Q4LE39,ARID4B,AT-rich interactive domain-containing protein 4B,20.5325,20.535,0.0025,0.946018806
Q9UJX3,ANAPC7,Anaphase-promoting complex subunit 7,20.4875,20.475,-0.0125,0.943669334
O75362,ZNF217,Zinc finger protein 217,16.97,16.955,-0.015,0.942052279
Q9Y3E5,PTRH2,"Peptidyl-tRNA hydrolase 2, mitochondrial",19.7425,19.7325,-0.01,0.938800255
Q9NQ29,LUC7L,Putative RNA-binding protein Luc7-like 1,20.3375,20.33,-0.0075,0.937297375
Q8TCZ2,CD99L2,CD99 antigen-like protein 2,17.1875,17.1925,0.005,0.935554573
O95785,WIZ,Protein Wiz,17.3225,17.31,-0.0125,0.932152844
Q9Y666,SLC12A7,Solute carrier family 12 member 7,18.3825,18.395,0.0125,0.92664748
P07357,C8A,Complement component C8 alpha chain,18.865,18.8875,0.0225,0.924687443
P12429,ANXA3,Annexin A3,18.305,18.315,0.01,0.922916573
P69905,HBA1,Hemoglobin subunit alpha,26.26,26.1975,-0.0625,0.918581149
Q15021,NCAPD2,Condensin complex subunit 1,19.5175,19.5125,-0.005,0.918209466
Q99538,LGMN,Legumain,18.31,18.2925,-0.0175,0.916541097
Q8ND04,SMG8,Protein SMG8,20.3425,20.33,-0.0125,0.908533441
Q9HAF1,MEAF6,Chromatin modification-related protein MEAF6,18.295,18.275,-0.02,0.906693967
P60033,CD81,CD81 antigen,19.64,19.61,-0.03,0.906135721
P35222,CTNNB1,Catenin beta-1,18.74,18.7275,-0.0125,0.905354071
P00488,F13A1,Coagulation factor XIII A chain,23.8675,23.88,0.0125,0.903898675
Q969X0,RILPL2,RILP-like protein 2,20.035,20.0475,0.0125,0.899496661
O94819,KBTBD11,Kelch repeat and BTB domain-containing protein 11,20.635,20.625,-0.01,0.898653306
Q96T60,PNKP,Bifunctional polynucleotide phosphatase/kinase,20.25,20.23,-0.02,0.892758402
P49795,RGS19,Regulator of G-protein signaling 19,20.745,20.7525,0.0075,0.892519861
O94913,PCF11,Pre-mRNA cleavage complex 2 protein Pcf11,21.0125,21,-0.0125,0.89239711
Q8NF37,LPCAT1,Lysophosphatidylcholine acyltransferase 1,18.9475,18.955,0.0075,0.890054839
P02748,C9,Complement component C9,21.2575,21.2825,0.025,0.888198003
